NCCL_Microbatching
batch_size,Microbatch size,tokens_per_second,avg_iteration_time_ms
2,2,14300.0,142.917646
2,1,15000.0,135.457727
4,4,14800.0,276.848455
4,2,16300.0,250.571482
4,1,16700.0,245.068927
8,8,15200.0,536.121498
8,4,16900.0,483.812754
8,2,17800.0,458.673342
8,1,17600.0,464.461242
16,16,15700.0,1044.576586
16,8,17500.0,937.002678
16,4,18400.0,888.962822
16,2,18700.0,874.566072
16,1,18100.0,903.833252
32,32,,
32,16,,
32,8,18900.0,1732.306944
32,4,19300.0,1702.938073
32,2,19200.0,1709.71015
32,1,18400.0,1784.989592
