Response time ms,,,,,,,,Tok/sec,,,,,
MB\Batch_Sz,2,4,8,16,32,,,MB\Batch_Sz,2,4,8,16,32
1,117.578955,202.620924,372.874213,713.737319,1394.489319,,,1,17418,20215,21969,22955,23498
2,127.162709,202.390204,352.727625,653.796149,1255.238888,,,2,16105,20238,23226,25059,26107
4,,247.298421,396.670453,695.353873,1292.737245,,,4,,16562,20652,23562,25346
8,,,477.794576,767.653765,1350.200574,,,8,,,17181,21342,24272
16,,,,926.767443,1497.243534,,,16,,,,17679,21886
32,,,,,1813.539005,,,32,,,,,18068
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Original llm.c code for single node training,,,,,,,,,,,,,
Batch Size,Tok/sec,,Batch Size,Response time(ms),,,,,,,,,
2,16337,,2,125.351959,,,,,,,,,
4,16699,,4,245.278851,,,,,,,,,
8,17271,,8,474.31482,,,,,,,,,
16,,,16,,,,,,,,,,
32,,,32,,,,,,,,,,
